genus,epitet,author
Cynosurus,aegyptius,L.
Cynosurus,aureus,L.
Cynosurus,callitrichus,Barb.
Cynosurus,coloratus,Lehm.
Cynosurus,durus,L.
Cynosurus,echinatus,L.
Cynosurus,effusus,Link
Cynosurus,elegans,Desf.
Cyperus,,
Cyperus,alopecuroides,Rottb.
Cyperus,alternifolius,L.
Cyperus,blancheanus,Desv.
Cyperus,capitatus,Vandelli
Cyperus,difformis,L.
Cyperus,distachyos,Ail.
Cyperus,esculentus,L.
Cyperus,flavescens,L.
•˛»»,,
•˛»»,fuscus,L.
•˛»»,glaber,L.
•˛»»,globosus,Ail.
•˛»»,junciformis,Cav.
•˛»»,kalli,(Forsk.) Murb.
•˛»»,laevigatus,L.
.*»,,
.*»,longus,L.
.*»,michelianus,(L.) Link
.*»,mucronatus,(L.) Mab/
.*»,mundtii,(Nées) Kunth
.*»,papyrus,L.
.*»,pygmaeus,Rottb.
.*»,rotundus,L.
Cystopteris,,
Cystopteris,filix-fragilis,(L.) Borb.
Cystopteris,fragilis,Bernh.
Cystopteris,regia,Presl
Cytinus,,
Cytinus,hypocistis,L.
Dactylis,,
Dactylis,glomerata,L.
Dactylis,hispanica,Roth
Dactylis,lagopoides,L.
Dactylis,repens,Desf.
Dactyloctenium,,
Dactyloctenium,aegyptiacum,Willd.
Dactyloctenium,aegyptium,L.) Asch. et Schw.
Dactylon,,
Dactylon,memphiticum,Spreng.
Damasonium,,
Damasonium,alisma,Mill.
Damasonium,bourgaei,Goss.
Damasonium,polyspermum,Coss.
Danaë,,
Danaë,racemosa,(L.) Mœnch
Dianthus,,
